variant,week,date,seed,revenue_usd,rebound_usd,penalty_usd,dwear_usd,shortfall_kWh,mv,sum_q_kW,delivery_ratio,warm,viol_K
single005,w03-jan-scarcity,2024-01-16,17,288.02479201630223,23.270360340231036,0.0,-3.853208245986494,0.0,268.6076399220576,757.2828229643818,1.0,2,0.0
ctxfree,w03-jan-scarcity,2024-01-16,17,276.1866466121137,23.211517300109335,0.0,-3.7882076636214492,0.0,256.76333697562586,812.6222022086596,1.0,2,0.0
single005,w03-jan-scarcity,2024-01-16,18,288.02479201630223,22.456712306458257,47.147314123206385,4.855414929003757,15.715771374402129,213.56535065763387,757.2828229643818,0.8501718661585992,2,0.0
ctxfree,w03-jan-scarcity,2024-01-16,18,276.1866466121137,-0.06413046022771596,39.80205539731391,-15.442270951227542,13.267351799104636,251.89099262625507,812.6222022086596,0.820407479153914,2,0.0
single005,w03-jan-scarcity,2024-01-16,19,288.02479201630223,19.829860657457743,0.0,4.236620304805868,0.0,263.95831105403863,757.2828229643818,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-16,19,276.1866466121137,-4.920888793951349,0.0,-1.1573436602922982,0.0,282.26487906635737,812.6222022086596,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-17,0,27.189065713504267,0.6127582365809872,0.0,-25.45620863562508,0.0,52.032516112548336,348.6989707389694,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-17,0,26.201156041576844,0.6127582365809872,0.0,-25.45620863562508,0.0,51.044606440620896,369.3737282766635,,0,0.0
single005,w03-jan-scarcity,2024-01-17,1,27.189065713504267,0.24084929399154476,0.0,3.6025892234475663,0.0,23.345627196065152,348.6989707389694,1.0,0,0.0
ctxfree,w03-jan-scarcity,2024-01-17,1,26.201156041576844,0.17243339042684624,0.0,4.012978799550417,0.0,22.015743851599552,369.3737282766635,1.0,0,0.0
single005,w03-jan-scarcity,2024-01-17,2,27.189065713504267,0.15776890295768453,4.056402335504066,-13.176910232001902,42.888584642673564,36.15180470704439,348.6989707389694,0.008884526925390657,1,0.09980661537380797
ctxfree,w03-jan-scarcity,2024-01-17,2,26.201156041576844,0.27002920920511997,4.631339129479887,-16.92068388937325,48.96742577162071,38.22047159226503,369.3737282766635,-0.3256878338392215,1,0.0
single005,w03-jan-scarcity,2024-01-17,3,27.189065713504267,-0.22154494873677777,1.3334735121539212,-10.562603248973616,3.539506057636357,36.63974039906077,348.6989707389694,0.9096891361829766,1,0.0
ctxfree,w03-jan-scarcity,2024-01-17,3,26.201156041576844,-0.0012329840270126624,4.173395578744997,-13.022823486774428,11.077654559497258,35.05181693363329,369.3737282766635,0.7000963059505949,1,0.0
