week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd
mild,2024-04-01,19,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0.0,0,0,0,2.5269999999999992,0.0
mild,2024-04-02,0,B1,0.0,0.0,77.1301146874998,0.0,65.59550123937811,-142.7256159268779,0.0,,0,0,0.0,0,0,0,0.0,0.0
mild,2024-04-02,0,B2,61.7160408699308,1.0016513433189769,77.01792407777532,0.0,61.27685717510703,-137.29312990956336,0.0,,0,0,0.0,1,0,0,5.432486017314545,-0.11219060972447892
mild,2024-04-02,0,B3,16.155221068817248,0.1615522106881725,76.83302011127886,0.0,58.78936171955761,-135.4608296201483,0.0,,0,0,0.0,0,0,0,7.264786306729604,-0.2970945762209425
mild,2024-04-02,0,B4,0.0,0.0,77.1301146874998,0.0,65.59550123937811,-142.7256159268779,0.0,,0,0,0.0,0,0,0,0.0,0.0
mild,2024-04-02,0,B5,1000.0,3.5075000000000003,0.042430555555555555,0.0,0.0,-4.754108637747337,0.0,1.0,0,0,0.0,0,0,0,-4.754108637747337,0.0
mild,2024-04-02,0,B6,100.0,1.623,0.0,0.0,0.0,1.623,0.0,1.0,0,0,0.0,0,0,0,1.623,0.0
mild,2024-04-02,1,B1,0.0,0.0,77.16020055847174,0.0,85.46537656172036,-162.6255771201921,0.0,,0,0,0.0,1,0,0,0.0,0.0
mild,2024-04-02,1,B2,61.7160408699308,1.0016513433189769,77.05905777935222,0.0,81.00250351263013,-157.05990994866335,0.0,,0,0,0.0,2,0,0,5.565667171528759,-0.1011427791195274
mild,2024-04-02,1,B3,16.155221068817248,0.1615522106881725,76.86310288143504,0.0,76.8790535756111,-153.58060424635795,0.0,,0,0,0.0,1,0,0,9.044972873834155,-0.2970976770367031
mild,2024-04-02,1,B4,0.0,0.0,77.16020055847174,0.0,85.46537656172036,-162.6255771201921,0.0,,0,0,0.0,1,0,0,0.0,0.0
mild,2024-04-02,1,B5,1000.0,3.5075000000000003,0.9958333333333333,0.0,0.0,-5.707511415525115,0.0,1.0,0,0,0.0,0,0,0,-5.707511415525115,0.0
mild,2024-04-02,1,B6,100.0,1.623,0.0,0.0,0.0,1.623,0.0,1.0,0,0,0.0,0,0,0,1.623,0.0
mild,2024-04-02,2,B1,0.0,0.0,77.33676513539514,0.0,45.51733003598335,-122.85409517137849,0.0,,0,0,0.0,2,0,0,0.0,0.0
mild,2024-04-02,2,B2,61.7160408699308,1.0016513433189769,77.24808000903813,0.0,40.329310085692086,-116.57573875141124,0.0,,0,0,0.0,2,0,0,6.278356419967253,-0.08868512635700654
mild,2024-04-02,2,B3,16.155221068817248,0.1615522106881725,77.04351904201341,0.0,40.693287529489226,-117.57525436081447,0.0,,0,0,0.0,3,0,0,5.27884081056402,-0.29324609338172536
mild,2024-04-02,2,B4,0.0,0.0,77.33676513539514,0.0,45.51733003598335,-122.85409517137849,0.0,,0,0,0.0,2,0,0,0.0,0.0
mild,2024-04-02,2,B5,1000.0,3.5075000000000003,0.16277777777777774,0.0,0.0,-4.87445585996956,0.0,1.0,0,0,0.0,0,0,0,-4.87445585996956,0.0
mild,2024-04-02,2,B6,100.0,1.623,0.0,0.0,0.0,1.623,0.0,1.0,0,0,0.0,0,0,0,1.623,0.0
mild,2024-04-02,3,B1,0.0,0.0,76.59542597301507,0.0,67.68138253866472,-144.2768085116798,0.0,,0,0,0.0,1,0,0,0.0,0.0
mild,2024-04-02,3,B2,61.7160408699308,1.0016513433189769,76.47327643092981,0.0,65.34768154430222,-140.81930663191304,0.0,,0,0,0.0,2,0,0,3.4575018797667667,-0.12214954208525342
