week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,kappa
mild,2024-04-01,19,B1,0.0,0.0,100.8985331826911,0.0,20.428058447543314,-121.32659163023442,0.0,,0,0,0,0,0,0,0.0,2,0,0,0.0,0.0,1.0
mild,2024-04-01,19,B2,0.0,0.0,100.84046199119717,0.0,20.159221751314547,-120.99968374251172,0.0,,0,0,0,0,0,0,0.0,2,0,0,0.3269078877226974,-0.058071191493922925,1.0
mild,2024-04-01,19,B3,0.0,0.0,100.87613896499936,0.0,20.324385914846925,-121.20052487984628,0.0,,0,0,0,0,0,0,0.0,2,0,0,0.12606675038813364,-0.022394217691740437,1.0
mild,2024-04-01,19,B4,0.0,0.0,100.8985331826911,0.0,20.428058447543314,-121.32659163023442,0.0,,0,0,0,0,0,0,0.0,2,0,0,0.0,0.0,1.0
mild,2024-04-01,19,B5,950.0,7.651000000000001,1.785763888888889,0.0,0.0,-2.35394197108067,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-2.35394197108067,0.0,1.0
mild,2024-04-01,19,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,2.5269999999999992,0.0,1.0
mild,2024-04-02,0,B1,0.0,0.0,77.38204445880048,0.0,30.48508948194566,-107.86713394074614,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-02,0,B2,50.65686505480285,0.8221609198394503,76.91980531145401,0.0,29.876220787894336,-105.9738651795089,0.0,,0,0,0,0,0,0,0.0,1,0,0,1.8932687612372376,-0.462239147346466,1.0
mild,2024-04-02,0,B3,0.0,0.0,77.35110783487104,0.0,30.43948431393589,-107.79059214880694,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0765417919392064,-0.03093662392943486,1.0
mild,2024-04-02,0,B4,0.0,0.0,77.38204445880048,0.0,30.48508948194566,-107.86713394074614,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-02,0,B5,1000.0,3.5075000000000003,0.042430555555555555,0.0,0.0,-4.754108637747337,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-4.754108637747337,0.0,1.0
mild,2024-04-02,0,B6,100.0,1.623,0.0,0.0,0.0,1.623,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,1.623,0.0,1.0
mild,2024-04-02,1,B1,0.0,0.0,77.00514350388723,0.0,36.51055799389798,-113.51570149778522,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-02,1,B2,50.65686505480285,0.8221609198394503,76.54635373854441,0.0,36.04536479892321,-111.76955761762818,0.0,,0,0,0,0,0,0,0.0,2,0,0,1.7461438801570353,-0.45878976534281435,1.0
mild,2024-04-02,1,B3,0.0,0.0,76.97420688006709,0.0,36.357219205700055,-113.33142608576713,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.1842754120180814,-0.030936623820139175,1.0
mild,2024-04-02,1,B4,0.0,0.0,77.00514350388723,0.0,36.51055799389798,-113.51570149778522,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-02,1,B5,1000.0,3.5075000000000003,0.9958333333333333,0.0,0.0,-5.707511415525115,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-5.707511415525115,0.0,1.0
mild,2024-04-02,1,B6,100.0,1.623,0.0,0.0,0.0,1.623,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,1.623,0.0,1.0
mild,2024-04-02,2,B1,0.0,0.0,77.06529057033227,0.0,25.47028689718246,-102.53557746751473,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-02,2,B2,50.65686505480285,0.8221609198394503,76.60758492816576,0.0,24.88744027586484,-100.67286428419115,0.0,,0,0,0,0,0,0,0.0,1,0,0,1.862713183323578,-0.457705642166502,1.0
mild,2024-04-02,2,B3,0.0,0.0,77.03435394640283,0.0,25.423099979959296,-102.45745392636212,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.07812354115260689,-0.03093662392943486,1.0
